"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Looi C.-K.; How M.-L.; Longkai W.; Seow P.; Liu L.","Looi, Chee-Kit (6701492423); How, Meng-Leong (57204283174); Longkai, Wu (57204289427); Seow, Peter (22136029500); Liu, Liu (57204283802)","6701492423; 57204283174; 57204289427; 22136029500; 57204283802","Analysis of linkages between an unplugged activity and the development of computational thinking","2018","Computer Science Education","28","3","","255","279","59","10.1080/08993408.2018.1533297","https://www.scopus.com/pages/publications/85055114323?origin=resultslist","Unplugged activities have been one approach to introduce computational thinking (CT) to students before any form of coding is involved. This paper reports on a study that examines the evaluation of the types of CT skills inculcated through an unplugged activity. Students in a grade 9 class were engaged in an unplugged activity on sorting before being asked to represent their understanding in the form of pseudo-English, flowchart or Python code. The assessment of CT skills comprises the aspects of decomposition, algorithmic design, generalization, abstraction and evaluation. Qualitative Comparative Analysis (QCA) was used to take a closer look at the unplugged CT activity and the subsequent artifact production. Such a QCA analysis can be used to inform a framework for designing instruction and tasks to target and teach certain types of CT knowledge in novice programmers, as well as for assessing an instruction package as to what CT knowledge is being covered. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","Improving classroom teaching; pedagogical issues; post-secondary education; programming and programming languages; teaching/learning strategies","","Article","Final","","Scopus","2-s2.0-85055114323"
"Saxena A.; Chiu M.M.","Saxena, Anika (57194166693); Chiu, Ming Ming (7101865518)","57194166693; 7101865518","Developing Preschool Teachers’ Computational Thinking Knowledge, Attitudes, Beliefs, and Teaching Self-Efficacies: A Curriculum-Based Professional Development Program","2022","Frontiers in Education","7","","889116","","","18","10.3389/feduc.2022.889116","https://www.scopus.com/pages/publications/85132720150?origin=resultslist","Grounded in transformative teacher development through the curriculum-based professional learning (CBPL) approach to teaching-learning, this exploratory study surveyed the computational thinking (CT) views of 25 in-service teachers before and after their CT professional development programme workshops. Multivariate outcome multilevel cross-classification analysis showed that after their workshops, these teachers changed their CT knowledge, CT attitudes, CT beliefs, and CT teaching self-efficacy. Teachers reporting greater CT knowledge than others felt greater overall CT teaching self-efficacy, including for both plugged and unplugged CT activities. Moreover, teachers who reported a school culture of sharing and teamwork or sufficient school resources for CT activities were more likely than other teachers to have greater teaching self-efficacy for plugged CT activities or CT activities overall. These results highlight the importance of school culture, school technology resources, and teachers’ reported CT knowledge to their CT teaching self-efficacy. Copyright © 2022 Saxena and Chiu.","attitudes; beliefs; computational thinking; curriculum-based professional learning; early childhood education; learning design; preschool teachers; teaching self-efficacy","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132720150"
"Sun L.; Liu J.","Sun, Lihui (57219108621); Liu, Junjie (58044901900)","57219108621; 58044901900","Effects of Gamified Python Programming on Primary School Students’ Computational Thinking Skills: A Differential Analysis of Gender","2024","Journal of Educational Computing Research","62","3","","846","874","29","10.1177/07356331231225269","https://www.scopus.com/pages/publications/85181209239?origin=resultslist","Computational thinking (CT), as a new future-oriented literacy, has gained attention at the basic education level. Graphical programming is the common way to develop CT in primary students, but this drag-and-drop programming may weaken students’ understanding of programming’s abstract concepts and code logic. Text-based programming approaches can solve the problems faced by graphical programming, but few studies have explored the impact of text-based programming on CT. Therefore, we conducted a quasi-experimental study with 98 6th graders to explore the impact of gamified Python programming on CT. The findings showed that CT skills, as well as abstraction and decomposition, pattern recognition and evaluation in CT sub-skills, were significantly higher with students in the experimental group than in the control group. Furthermore, we found that gamified Python programming enabled boys and girls to reach the same level of CT skills. However, in terms of CT sub-skills, we found that gamified Python programming was more beneficial to the development of pattern recognition and evaluation skills for boys and abstraction and decomposition skills for girls. This demonstrated the effectiveness of gamified Python programming to improve primary students’ CT skills while clarifying the impact of gender and enriching research in the field of text-based programming. © The Author(s) 2023.","computational thinking; game-based learning; gamification; gender; primary education; python programming","","Article","Final","","Scopus","2-s2.0-85181209239"
"Agbo F.J.; Okpanachi L.O.; Ocheja P.; Oyelere S.S.; Sani G.","Agbo, Friday Joseph (57210111880); Okpanachi, Linda Ojone (58813930800); Ocheja, Patrick (57201728979); Oyelere, Solomon Sunday (57188672243); Sani, Godwin (60302050900)","57210111880; 58813930800; 57201728979; 57188672243; 60302050900","How can unplugged approach facilitate novice students’ understanding of computational thinking? An exploratory study from a Nigerian university","2024","Thinking Skills and Creativity","51","","101458","","","10","10.1016/j.tsc.2023.101458","https://www.scopus.com/pages/publications/85182420935?origin=resultslist","Computational thinking (CT) has been relevant in teaching STEM courses, and educators are incorporating both plugged and unplugged CT activities in their modules to prepare new entrants for advanced knowledge. However, additional empirical data are needed to understand how an unplugged activities approach can lead to an improved understanding of CT concepts. Therefore, this study investigates the impact of unplugged activities on novice students' CT skills and unravels the characteristics of students' CT competency from performing unplugged activities. The experimental aspect of this study was conducted with a cohort of 210 students participating in an introductory programming course at a University in Nigeria. A mixed-method research approach and a quasi-experimental design were applied in this study to understand how the unplugged approach in teaching CT could help students improve their CT competency. A paired-sample t-test of familiarity score for each CT concept showed a significant increase in the score before and after the intervention. Furthermore, Latent Dirichlet Allocation (LDA) was used for topic modeling of the text describing students’ solutions. Topic modeling allows for more insights into the steps taken by the students to solve CT problems. Only 27.62 % of students' solution descriptions contained CT concepts, 56.90 % of the students solved the puzzle with an optimal score, and 72.41 % of students who applied CT concepts of problem abstraction and decomposition were able to solve the puzzle correctly. Indeed, CT unplugged activities significantly increased the number of students who gained CT competency. In addition, this study provides recommendation for computer science educators and highlight future direction. © 2023 The Author(s)","Computational thinking; CS students, Nigeria university; Problem-solving; Programming education; Unplugged activities","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182420935"
"Brooks E.; Kaup C.F.; Dau S.; Edstrand E.; Granone F.; Reikerås E.K.L.","Brooks, Eva (57211688185); Kaup, Camilla Finsterbach (57740659600); Dau, Susanne (56492963400); Edstrand, Emma (56642790100); Granone, Francesca (57690670300); Reikerås, Elin Kirsti Lie (14038238500)","57211688185; 57740659600; 56492963400; 56642790100; 57690670300; 14038238500","Computational Play in Early Childhood: Integrating Analog and Digital Tools to Support Mathematical Learning and Computational Thinking","2025","Education Sciences","15","12","1601","","","1","10.3390/educsci15121601","https://www.scopus.com/pages/publications/105025700787?origin=resultslist","Although play naturally embeds computational thinking (CT) and mathematical learning in early childhood education, designing developmentally appropriate learning activities that purposefully nurture and extend these competencies remains a challenge. This study investigates how young children engage with foundational mathematical and computational concepts through analog (DUPLO®) and digital (Blue-Bot) tools in a play-responsive early childhood education workshop setting. The study adopts a qualitative workshop format aimed at promoting playful exploration and active experimentation, involving eleven 4–5-year-old children and their two teachers. Based on a sociocultural perspective, the findings highlight that mathematics is a human activity embedded in everyday playful practices. In particular, unplugged analog activities, embedded within an open-ended narrative framework, guided and structured the process. Based on these findings, we suggest “computational play” as a framework for developmentally appropriate integration of computational thinking (CT) and mathematics. This framework offers implications for educators seeking to support early CT and mathematical learning in playful, exploratory early childhood education (ECE) environments. © 2025 by the authors.","computational play; computational thinking; early childhood education; early mathematical learning; imagination; narrative-driven approach; open-ended design; play-responsiveness; playful workshop activities; unplugged analog and digital tools","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025700787"
"Gerini L.; Delzanno G.; Guerrini G.; Solari F.; Chessa M.","Gerini, Lorenzo (58059107800); Delzanno, Giorgio (56261525500); Guerrini, Giovanna (7003908669); Solari, Fabio (6603393665); Chessa, Manuela (25652939100)","58059107800; 56261525500; 7003908669; 6603393665; 25652939100","XRCoding: introducing computational thinking and coding in a gamified eXtended reality","2025","Software Quality Journal","33","1","2","","","3","10.1007/s11219-024-09700-5","https://www.scopus.com/pages/publications/85211345879?origin=resultslist","Gamification, the integration of game design elements into non-game contexts, has emerged as a promising strategy to enhance engagement and enjoyment in various activities. In parallel, advancements in Virtual Reality (VR) have expanded possibilities for immersive experiences, particularly in learning and training scenarios. This paper introduces XRCoding, a gamified immersive coding system that merges VR and passive haptic technologies with standard block coding approaches. XRCoding aims to enhance the user experience of block coding, particularly in educational settings, by providing intuitive interfaces and engaging activities. Building upon previous research on gamification, VR, and tangible programming, XRCoding offers a novel approach to teaching computational thinking and coding concepts. The paper presents the design and implementation of XRCoding, detailing its components and features. Furthermore, an experimental study is conducted to evaluate the effectiveness of XRCoding in enhancing user experience compared to traditional desktop block coding systems. Results indicate that XRCoding offers a more engaging and immersive experience, contributing to the ongoing exploration of immersive technologies and gamification in educational and training settings. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Coding; Computational thinking; eXtended reality; Passive haptic; Virtual reality","Game design; Gamification; Haptic interfaces; Virtual environments; Virtual reality; Virtualization; Block coding; Coding; Coding system; Computational thinkings; Extended reality; Gamification; Haptics; Immersive; Passive haptic; Users' experiences; Block codes","Article","Final","","Scopus","2-s2.0-85211345879"
"Vassallo D.","Vassallo, Diane (58975784500)","58975784500","Fostering computational thinking in early learners: an iterative approach in a Maltese primary school","2025","Discover Education","4","1","126","","","2","10.1007/s44217-025-00553-z","https://www.scopus.com/pages/publications/105005576069?origin=resultslist","As digital integration transforms modern society, equipping young learners with computational thinking (CT) skills has become an essential educational goal. However, many education systems face challenges in adapting curricula to include CT, particularly in early childhood education where resources, teacher preparedness, and instructional design require careful attention. This study adopts a novel design-based research (DBR) methodology, uniquely integrated with the Interest-Driven Creator (IDC) theory, to explore and refine effective strategies for enacting CT learning outcomes in early childhood classrooms, particularly in contexts where CT is not yet embedded in national curricula. Over a 10-week intervention in a Maltese primary school, 119 Year 1 students participated in progressively designed CT unplugged and plugged activities, aligned with iterative feedback loops to refine teaching practices. Data collected through observations, reflective meetings, interviews, and TechCheck assessments revealed consistent improvements in students’ CT scores, engagement, and problem-solving abilities. Findings highlight key implementation challenges, such as resource limitations and the need for sustained teacher training, while offering practical recommendations for curriculum design. This study contributes original insights to the growing discourse on CT integration in early education by presenting an iterative, theoretically grounded intervention model that is both adaptable and scalable, offering practical solutions for curriculum designers, educators and policymakers. © The Author(s) 2025.","Computational thinking; Curriculum design; Design-based research; Early childhood education; Instructional design; Interest-driven creator theory","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005576069"
"Sun L.; Liu J.; Liu Y.","Sun, Lihui (57219108621); Liu, Junjie (58044901900); Liu, Yunshan (59033653200)","57219108621; 58044901900; 59033653200","Comparative experiment of the effects of unplugged and plugged-in programming on computational thinking in primary school students: A perspective of multiple influential factors","2024","Thinking Skills and Creativity","52","","101542","","","18","10.1016/j.tsc.2024.101542","https://www.scopus.com/pages/publications/85192198989?origin=resultslist","Recently, the development of computational thinking (CT) skills has become widespread in the whole world. There is a consensus to develop students’ CT skills through unplugged and plugged-in programming. However, the choice of programming approaches taught in schools is arbitrary and few studies have compared the effectiveness differences between unplugged and plugged-in programming. This study aimed to explore the differences between unplugged and plugged-in programming in developing CT skills of students in Grades 1-2 students. It also explored the joint effects of students’ gender, programming experience, programming interest, and programming confidence with different programming approaches on CT skills. The quasi-experimental research approach was used to conduct 10 weeks of unplugged, plugged-in, and regular programming activities with 124 Grades 1-2 students. The results found that unplugged programming promoted CT skills more in the early primary grades than plugged-in programming. We found that boys and students with programming experience in unplugged group performed significantly better in CT skills than in plugged-in group. Moreover, the improvement of CT skills of students in unplugged group was positively correlated with the level of their programming interest and programming confidence. However, these were not observed in plugged-in group. The results of this study can provide precise guidance for teaching CT skills to early primary school students and provide references for CT education. © 2024 Elsevier Ltd","Computational thinking; Influential factors; Primary school students; Unplugged and plugged-in programming","","Article","Final","","Scopus","2-s2.0-85192198989"
"Kite V.; Park S.; Wiebe E.","Kite, Vance (57204104114); Park, Soonhye (16043163700); Wiebe, Eric (7005357155)","57204104114; 16043163700; 7005357155","The Code-Centric Nature of Computational Thinking Education: A Review of Trends and Issues in Computational Thinking Education Research","2021","SAGE Open","11","2","","","","51","10.1177/21582440211016418","https://www.scopus.com/pages/publications/85106749212?origin=resultslist","Computational thinking (CT) is being recognized as a critical component of student success in the digital era. Many contend that integrating CT into core curricula is the surest method for providing all students with access to CT. However, the CT community lacks an agreed-upon conceptualization of CT that would facilitate this integration, and little effort has been made to critically analyze and synthesize research on CT/content integration (CTCI). Conflicting CT conceptualizations and little understanding of evidence-based strategies for CTCI could result in significant barriers to increasing students’ access to CT. To address these concerns, we analyzed 80 studies on CT education, focusing on both the CT conceptualizations guiding current CT education research and evidence-based strategies for CTCI. Our review highlights the code-centric nature of CT education and reveals significant gaps in our understanding of CTCI and CT professional development for teachers. Based on these findings, we propose an approach to operationalizing CT that promotes students’ participation in CT, present promising methods for infusing content with CT, and discuss future directions for CT education research. © The Author(s) 2021.","computational thinking; computational thinking education; integrating computational thinking; programming; unplugged","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106749212"
"Sabyrkhanova L.; Zhaidakbayeva L.; Sözer M.A.; Belessova D.; Kurmanbayeva Z.; Zhidebayeva A.","Sabyrkhanova, Lazzat (60340676100); Zhaidakbayeva, Lazzat (57223014811); Sözer, Mehmet Akif (23104168900); Belessova, Damira (57223018747); Kurmanbayeva, Zhuldyz (60341314600); Zhidebayeva, Aziza (56389633700)","60340676100; 57223014811; 23104168900; 57223018747; 60341314600; 56389633700","Digital Literacy as a Tool for Developing Computational Thinking in Young Learners: A Literature Review","2026","Open Education Studies","8","1","20250121","","","1","10.1515/edu-2025-0121","https://www.scopus.com/pages/publications/105027948479?origin=resultslist","The integration of digital literacy into educational systems has become a crucial factor in developing computational thinking (CT) skills among students. The review examines a range of methodological frameworks, national policies, and digital tools contributing to CT development. Findings reveal a strong interdependence between digital literacy and computational thinking: students with higher digital competence exhibit up to 30 % better performance in problem-solving, logical reasoning, and algorithmic tasks. Nevertheless, significant challenges remain, including digital inequality, insufficient access to infrastructure, lack of teacher preparedness, and curriculum fragmentation. The paper explores successful international initiatives - such as the Bebras Challenge, CodeWeek, CS Unplugged, and ISTE standards - as scalable models of integration. It also outlines effective strategies such as gamification, project-based learning, and adaptive platforms. Policy recommendations include the adoption of national digital education strategies and professional development for educators. The study concludes that only a systemic, inclusive approach to digital literacy can ensure equitable access to computational thinking education worldwide. © 2026 the author(s), published by De Gruyter, Berlin/Boston.","computational thinking; digital education; digital literacy; educational technology; ICT in learning; K-12 education","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027948479"
